visitor,home_geohash,home_cbg
27b1f4c78ab2ba302989c8dd86f22a5cc4c51ff79ffbd28fd9f3fd3b9219e721,dr47zgr,421010218002
463c0d83cee5347a696c72bb09b2d4983ac782d9f2d69171971af7501be20691,dr47pgf,421010064003
bd4c198c7312861972c2f11e896e7e8ff893806866b4ffa719344dea750cac12,dr47zf1,421010219001
d2a411e04910af7dff236f5e3edfa7fb2fa61d74466b932ef985f9e92fd7b9ae,dr47rvs,421010114003
27dc8891bd87cb7b382689bd6ccf008c5bf1fb7e3c66f03b3d6be53dba55d622,dr47rbq,421010081012
fb139c87900855431807fa8440b523b3a2985313a7a13620aee0a2b177a7920c,dr47zbx,421010216001
c4705239b1591b7898cfcb12085893231e5bc7794d6417f14c185d69b4186677,dr47ruz,421010112004
98398fe793648525945290dbabc88352a442ca8e1f6b3b33e149be881b8962e3,dr47xyy,420912047023
70173d2ab3404351e9999e9b02a06c10505d2dec682ea07fabb8f8f7127bc5ef,dr47pgw,421010063003
799d500ea7f45507cac18d7315df07a91adefcd44874bab3a9de9004515adb66,dr47rcn,421010081022
f436d91d006603de785000d43b04bd1886de8a0c48db30570dfaf0bcdf9f4399,dr47r9y,421010083013
fb721a8626e0216ebc9fef805a3b5ee058416a8f5f780480b7f055ad6a6156ed,dr47qf3,420454007005
7f2a579f7c6c571a0c76e60813591b9987dabe0213031ebfcf8921b26ab12fb4,dr47ruy,421010112004
dc90679bf4a28c0f08b3a852754c74a048a9f5aa0faaac9030429b97f1d02fac,dr47rvy,421010113001
68b3162cf72f738184044cd32448f75b1f4755773c27ad47b001facbb3fc0902,dr47pgt,421010063003
3bbe1305f761bd16c015b60f8c93fac3a5e53a29346f09583cd5484b7a501689,dr47rfs,421010083022
9788d96cc393a41bc824543108c963036569d91e2a819b6bd6786f876b66a559,dr47ruu,421010101001
c9a250ccc86e806df175e0d300682a24370fa4a421cd221013f4bef845467768,dr47zyw,421010384002
47b7e14d6123caef3fbe810da43f0a046d5619450086358688028c55a7697856,dr47rzm,421010118006
afa9d4736e772720feb50fe564f1746b8893c0a01c01a0f1ae06cdfab485eeb2,dr47rbq,421010081012
fc73cf4c7878d1a0793d133402d4ac2d6b5418a803c362c87351638e92c1f083,dr47rcb,421010083012
d367a2a6319c3cb7358fc29d926453f8dc41d6dddb10d391592a175c23b64dfd,dr47pft,421010060005
f1cd9a9533c58c58205e95a7a2d0ff29f28bede68c18fcc65e0c2d1d5425d163,dr47p6b,420454031031
0bb9568cd757b67a7bc073c6c1f81197650dcbd37859768c29858de743789542,dr47rt1,421010115004
65259b87237a39db7db56014fffd3eb632cb2ba551ad6a51becd8a2578676f82,dr47ru0,421010101005
f03bbfb78ff69008d2a55bbdf80fd21a9687838f2041224d9eec3098d11d923c,dr47rbb,421010082007
32d8f975cba49004cce79a2cf75dfb6d3cbab8ea6b79128992dad11c0c0c900a,dr47zgj,421010219001
cbc3a9a5a8f3c82b82150387d48a29612c9b0706c3d82425f0bf57ddd936a488,dr47rt6,421010115004
1410e6d9dfd0d9fa878c24219006183235ffcb47cc908c0f152072f05b3d8417,dr47rt9,421010115002
f7ded41b17ddeb40fd022ed3a50af86bff248c496a1ecbb3afd4c6a51c77635d,dr47rup,421010102001
324de3805e3e9667566ad3a3719bc095c522a0ffe76bc3bd9017a5f66a63d7dc,dr47rbq,421010081012
