safegraph_place_id,latitude,longitude,location_name,street_address,raw_visit_counts,distance_from_home,weighted_visit_counts,count_home_cbgs,visits_top_10_hours
sg:ed0185d9a4f949da9e8f209e3e58ffbf,39.956719,-75.22580699999997,Mr Hook Fish & Chicken,206 S 52nd St,22,4360.0,286.0,5,1.3
sg:f458877738104686b678cb1def487019,39.922365,-75.158129,Nusantara Store,2115 S 7th St,34,836.0,340.0,8,1.7
sg:f936ebf2d7d94d29a2de14d4bb75844d,40.039919,-75.058364,Los Taxes,6951 Roosevelt Blvd,16,2874.0,136.0,2,1.0
sg:fa058a2cc53e47a69f35ce71388ccd0d,39.982569,-75.12680300000002,Atlantis The Lost Bar,2442 Frankford Ave,15,,1695.0,1,1.0
sg:fe27e1822e4e41029953523e40de4836,39.977438,-75.138195,Route Messengers of PA,1740 N 2nd St,16,9296.0,176.0,2,1.4
sg:fe5fc17f3f724e9ba2d7295cc25cc6f4,40.001777,-75.118538,Tioga Grocery,3468 E St,50,3611.0,2400.0,6,2.2
sg:0438c8de84e64d7698680d4938aa2453,39.998838,-75.10300600000002,Autotime Service Center,3554 Emerald St,41,5106.0,2624.0,4,1.6
sg:11694cbf9ecd40e3a06fce68e23021c7,39.953417,-75.173278,New York Gyro Truck,20th And Market,27,9412.0,1512.0,3,1.1
sg:1a7c7400774e4d16950365b4fe0eb4eb,39.996768,-75.177984,Dou Hueng,2828 W Lehigh Ave,21,5712.0,1281.0,6,1.4
sg:1dc3cefc4bb04dbdb41ea0a651281f10,40.04869,-75.151115,Joe's Varity,6200 Ogontz Ave,20,1709.0,560.0,1,1.2
sg:339a91643f274fe49ef23367f8284ea6,40.037268,-75.040323,Family Dollar Stores,7310 Frankford Ave # 14,27,3757.0,432.0,4,1.4
sg:440bd9c8c71942aaa3063fb9a0235f28,40.020704,-75.083138,Frankford Hospital School of Nursing,4918 Penn St,27,,6021.0,1,1.2
sg:6441c305228a44218a07fb043451e102,40.09851,-75.030857,Classic Body Worx,9902 Bustleton Ave,13,3719.0,1664.0,1,1.1
